ENT_ID,NAME
314940,midco finance sa
323280,lajnat el masa eidatul afghania
323294,al taqwa trade property and industry company ltd
323298,al taqwa trade property and industry
323302,al taqwa trade property and industry establishment
323303,himmat establishment
323305,waldenberg ag
323307,alhamati sweets bakeries
323312,alittihad alislami aiai
323318,almanar
323320,almaunah
323322,alnur honey center
323324,alshifa honey press for industry and commerce
323325,alwafa aligatha alislamia
323332,alex boncayao brigade abb
323334,anarchist faction for overthrow
323336,army for the liberation of rwanda alir
323339,interahamwe former armed forces exfar
323340,asbat alansar aaa
323343,babbar khalsa international
323347,bank al taqwa ltd
323353,al taqwa bank
323354,bank al taqwa
323355,black star
323360,continuity irish republican army cira
323365,dhamat houmet daawa salafia
323366,group protectors of salafist preaching
323367,houmat ed daawa es salifiya
323369,katibat el ahoual
323371,protectors of the salafist predication
323372,elahoual battalion
323373,katibat el ahouel
323374,houmate eddaawa essalafia
323376,the horror squadron
323377,djamaat houmat eddawa essalafia
323378,djamaatt houmat ed daawa es salafiya
323380,djamaat houmat ed daawa es salafiya
323381,houmate el daawaa essalafiyya
323382,protectors of the salafist call
323383,houmat eddaaoua essalafia
323384,group of supporters of the salafiste trend
323385,group of supporters of the salafist trend
323390,first of october antifascist resistance group grapo
323393,grupo de resistencia antifascista premero de octubre
323394,harakat uljihadiislamibangladesh hujib
323395,international sikh youth federation
323397,islamic renewal and reform organization
323400,jamiat altaawun alislamiyya
323402,jamiat ulmujahideen jum
323404,jaishemohammed jem
323405,jayshullah
323406,jerusalem warriors
323407,lashkar etayyiba let
323425,loyalist volunteer force lvf
323426,makhtab alkhidmat
323437,nada management organization
323439,al taqwa management organization sa
323442,communist party of the philippinesnew peoples army cppnpa
323443,orange volunteers
323444,people against gangsterism and drugs pagad
323445,red brigadescombatant communist party brpcc
323446,red hand defenders rhd
323458,revolutionary proletarian nucleus
323459,revolutionary united front ruf
323460,alqaida in the islamic maghreb aqim
323461,the allied democratic forces adf
323462,the islamic international brigade
323465,peacekeeping battalion
323469,the lords resistance army lra
323470,the pentagon gang
323471,the riyadussalikhin reconnaissance and sabotage battalion of chechen martyrs
323475,riyadussalikhin reconnaissance and sabotage battalion of shahids martyrs
323476,the special purpose islamic regiment
323480,tunisian combat group
323481,gct
323483,jamaa combattante tunisien
323484,jct
323486,turkish hizballah
323487,ulster defense association
323491,foundation for construction
323492,nation building
323493,reconstruction foundation
323494,reconstruction of the islamic community
323495,reconstruction of the muslim ummah
323496,ummah tameer inau
323498,ummah tameeripau
323500,youssef m nada  co gesellschaft mbh
400005,aerocaribbean airlines
400014,anglocaribbean co ltd
400018,banco nacional de cuba
400026,boutique la maison
400034,casa de cuba
400038,cecoex sa
400046,compania de importacion y exportacion iberia
400047,cimex iberica
400048,cimex sa
400049,comercial iberoamericana sa
400053,comercial cimex sa
400054,comercial de rodajes y maquinaria sa
400056,comercializacion de productos varios
400063,corporacion cimex sa
400065,cotei
400069,crymsa  argentina sa
400070,cubacancun cigars and gift shops
400071,cubaexport
400072,cubafrutas
400073,cuban cigars trade
400074,cubanatur
400075,cubatabaco
400077,cumexint sa
400081,delvest holding sa
400091,ediciones cubanas
400092,edyju sa
400094,empresa cubana de aviacion
400110,empresa cubana de pescados y mariscos
400117,empresa de turismo nacional y internacional
400118,etco international commodities ltd
400119,etco international company limited
400127,galax trading co ltd
400137,havin bank limited
400138,havanatur
400150,instituto nacional de turismo de cuba
400151,interconsult
400156,kave sa
400159,la empresa cubana de fletes
400173,leverage sa
400195,niref
400196,nordstrand ltd
400197,nordstrand maritime and trading company
400207,panamerican import and export commercial corporation
400222,prelasa
400223,prensa latina canada ltd
400224,prensa latina
400246,servinaves sa
400266,trober sa
400267,tropic tours gmbh
400274,viajes guama sa
400275,vinales tours
400301,cobalt refinery co inc
400302,la compania general de niquel
400303,international cobalt co inc
400304,moa nickel sa
400765,bank saderat iran
400771,bank saderat plc
400783,aum shinrikyo
400784,euzkadi ta askatasuna
400786,hamas
400787,harakat ulmujahideen
400788,hizballah
400789,kahane chai
400791,liberation tigers of tamil eelam
400793,national liberation army
400794,palestine islamic jihad  shaqaqi faction
400795,palestine liberation front  abu abbas faction
400800,revolutionary peoples liberation partyfront
400801,revolutionary peoples struggle
400802,shining path
400803,democratic front for the liberation of palestine  hawatmeh faction
400870,agricola songo ltda
400873,desarrollos urbanos ltda
400874,edificaciones del caribe ltda
400875,gran compania de hoteles ltda
400877,hoteles e inmuebles de colombia ltda
400878,inmobiliaria del caribe ltda
400879,inmobiliaria hotelera del caribe ltda
400880,inversiones hoteleras del litoral ltda
400882,inversiones prado trade center ltda
400885,negocios y propiedades del caribe ltda
400889,promotora hotel barranquilla ltda
400890,suramericana de hoteles ltda
400892,al qaida
400958,cna publicidad ltda
400959,campo verde ltda
400961,colombiana de cerdos ltda
400969,distribuidora de elementos para la construccion sa
400975,inversiones namos y cia ltda
400977,k p to jeans wear s de h
400980,matadero metropolitano ltda
400993,titos bolo club
400995,villa de arte s de h
401005,taliban
401010,agroinversora urdinola henao y cia scs
401012,comercializadora de carnes ltda
401015,constructora e inmobiliaria urvalle cia ltda
401016,constructora universal ltda
401018,explotaciones agricolas y ganaderas la lorena scs
401021,industrias agropecuarias del valle ltda
401022,inversiones el eden scs
401029,serviautos uno a 1a limitada
401053,agricola ganadera henao gonzalez y cia scs
401054,compania agroinversora henagro ltda
401055,desarrollos comerciales e industriales henao gonzalez y cia scs
401056,maquinaria tecnica y tierras ltda
401057,organizacion empresarial a de j henao m e hijos y cia scs
401060,caviedes dileo y cia scs
401064,happy days s de h
401067,vestimenta j y j s de h
401077,industria de pesca sobre el pacifico sa
401079,galapagos sa
401106,real ira
401119,united selfdefense forces of colombia
401121,salafist group for call and combat
401134,makhtab alkhidamatal kifah
401137,mamoun darkazanli importexport company
401231,alaqsa islamic bank
401232,beit elmal holdings
401233,holy land foundation for relief and development
401238,lashkar etayyiba
401239,continuity ira
401240,first of october antifascist resistance group
401241,loyalist volunteer force
401243,red hand defenders
401244,ulster defence association
401249,accesos electronicos sade cv
401250,administradora de inmuebles vida sa de cv
401251,adp sc
401252,complejo turistico oasis sa de cv
401253,distribuidora imperial de baja california sa de cv
401254,farmacia vida suprema sa de cv
401255,forpres sc
401257,gex explore s de rl de cv
401258,operadora valpark sa de cv
401259,valpark sa de cv
401296,alharamain  pakistan branch
401325,new peoples army  communist party of the philippines
401360,global relief foundation inc
401370,jemaa islamiyah
401373,agricola doima del norte del valle ltda
401374,agropecuaria miralindo sa
401375,arizona sa
401376,ganaderia el vergel ltda
401377,ganaderias bilbao ltda
401378,inmobiliaria el escorial ltda
401379,inmobiliaria linares ltda
401380,inmobiliaria pasadena ltda
401381,inversiones la quinta y cia ltda
401382,ladrillera la candelaria ltda
401383,montoya luna e hijos y cia scs
401384,organizacion luis hernando gomez bustamante y cia scs
401385,viscaya ltda
401412,benevolence international fund
401413,bosanska idealna futura
401415,lajnat al daawa al islamiyya
401420,stichting benevolence international nederland
401661,bananera agricola sa
401662,bolsak eu
401663,cia andina de empaques ltda
401664,cia minera dapa sa
401665,compania de fomento mercantil sa
401666,construcciones progreso del puerto sa
401668,credisa sa
401669,criadero la luisa eu
401670,dragados y muelles gaviota ltda
401672,geoplasticos sa
401673,gestora mercantil sa
401674,granja la sierra ltda
401675,gran muelle sa
401678,mira eu
401680,occidental de papeles ltda
401683,servicio aereo de santander eu
401684,trinidad ltda y cia scs
401685,unidas sa
401686,unipapel sa
401687,valor ltda scs
401716,todobolsas y colsobres
401722,alaqsa foundation
401723,alaqsa ev
401726,alaqsa
401734,albanian national army
401736,army of the republic of ilirida
401743,bio corporation
401756,cetnik ravnagorski pokret
401764,front for albanian national unity
401805,liberation army of presevo medvedja and bujanovac
401813,manco oil company
401839,national committee for the liberation and protection of albanian lands
401841,national movement for the liberation of kosovo
401854,political council of presevo medvedja and bujanovac
401856,popular movement of kosovo
401859,puma security company
401908,united wa state army
401994,association de secours palestiniens
401999,comite de bienfaisance et de secours aux palestiniens
402000,interpal
402001,palestinian association in austria
402002,sanabil association for relief and development
402028,alakhtar trust international
402165,albakoun ala alahd organization
402190,alharamain  indonesia branch
402206,2904977 canada inc
402208,cubanacan group
402209,cubanacan international bv
402210,cubanacan uk limited
402211,havanatur sa
402212,havanatur bahamas ltd
402213,havanatur chile sa
402214,la compania tiendas universo sa
402215,fundacion para la paz de cordoba
402257,little connemara 1 farm
402258,lot 3a of dete valley farm
402259,m  s syndicate pvt ltd
402260,patterson farm
402262,zimbabwe defence industries pvt ltd
402280,hola sun holidays limited
402293,alhuda state company for religious tourism
402304,alharamain  al masjed alaqsa charity foundation  bosnia branch
402305,taibah international  bosnia branch
402317,arellano felix organization
402318,juarez cartel
402325,aero continente sa
402326,aviandina sac
402328,iac international inc
402331,sistema de distribucion mundial sac
402335,aero continente usa inc
402336,cargo aircraft leasing corp
402337,international pacific trading inc
402338,alharamain  afghanistan branch
402339,alharamain  albania branch
402340,alharamain  bangladesh branch
402341,alharamain  ethiopia branch
402342,alharamain  the netherlands branch
402346,casa apollo
402347,barakat import export ltda
402386,awa engineering limited
402389,admincheck limited
402390,advanced electronics development ltd
402394,alarabi trading company limited
402420,amd co ltd agency
402421,arab petroleum engineering company ltd
402422,arab projects company sa ltd
402423,archi centre ice limited
402424,archiconsult limited
402425,associated engineers
402429,atlas air conditioning company limited
402430,atlas equipment company limited
402432,baroon shipping company limited
402437,durand properties limited
402438,endshire export marketing
402442,falcon systems
402444,fartrade holdings sa
402446,h  h metalform gmbh
402448,helford directors limited
402449,ipc international limited
402450,ipc marketing limited
402451,investacast precision castings ltd
402452,iraqi allied services limited
402453,iraqi freight services limited
402454,iraqi trade center
402455,jaraco sa
402461,keencloud limited
402465,meed international limited
402471,orient shipping limited
402472,pandora shipping co sa
402473,petra navigation  international trading co ltd
402474,rajbrook limited
402475,reynolds and wilson ltd
402481,t n k fabrics limited
402482,teg limited
402485,tariq abu shanab est for trade  commerce
402486,technology and development group ltd
402487,tigris trading inc
402488,trading  maritime investments
402489,ui international
402492,whale shipping ltd
402493,ate international ltd
402497,bloto international company
402499,melfi marine corporation sa
402642,alharamain foundation  comoros islands
402643,islamic african relief agency
402651,intercontinental de aviacion sa
402652,accirent sa
402653,aerocomercial alas de colombia ltda
402654,aerovias atlantico ltda
402655,asociacion turistica internacional scs
402656,cia constructora y comercializadora del sur ltda
402657,comercializadora andina brasilera sa
402658,desarrollos agroindustriales sa
402659,green island sa
402660,industrial minera y pecuaria sa
402661,intercontinental de financiacion aerea  sa
402662,inversiones y comercializadora incom ltda
402663,la frontera union galvez y cia s en c
402664,largo leasing ltd
402665,trans pacific world leasing limited
402680,islamic state of iraq and the levant
402681,sercuba
402715,serb democratic party
402716,zdravo
402717,komotko
402765,ramcharan ltd
402766,ramcharan brothers ltd
402767,caribbean showplace ltd
402768,caribbean beach park
410012,aerocaribbean
410057,avia import
410219,bnc
410220,national bank of cuba
410471,coiba
410475,crymsa
410477,coprova
410478,coprova sarl
410556,delvest holding company
410583,cubana airlines
410613,cubatur
410641,galax inc
410888,cuflet
410889,cuban freight enterprise
411409,trover sa
411410,tropicana tours gmbh
413331,general nickel sa
413559,iran overseas investment bank limited
413883,groupement islamique arme
413885,aljamaah alislamiyah almusallah
413886,aum supreme truth
413887,aic sogo kenkyusho
413888,aic comprehensive research institute
413889,democratic front for the liberation of palestine
413890,dflp
413891,red star forces
413892,red star battalions
413915,party of god
413916,islamic jihad
413917,islamic jihad organization
413918,revolutionary justice organization
413919,organization of the oppressed on earth
413920,islamic jihad for the liberation of palestine
413921,organization of right against wrong
413922,ansar allah
413923,followers of the prophet muhammed
413931,repression of traitors
413932,dikuy bogdim
413933,dov
413934,state of judea
413935,committee for the safety of the roads
413936,sword of david
413937,judea police
413938,kahane lives
413939,kfar tapuah fund
413940,the judean voice
413968,palestine liberation front
413969,plf
413970,plfabu abbas
413990,epanastatikos laikos agonas
413991,ela
414209,desarrollar ltda
414210,edificar
414211,granco
414214,inhocar
414215,inhotel
414216,ipracaribe
414217,negociar ltda
414219,suratel
414276,colcerdos ltda
414282,delcon sa
414300,villa darte
414324,islamic movement of taliban
414325,tahrike islamia taliban
414326,taleban
414327,taliban islamic movement
414328,talibano islami tahrik
414352,organization of revolutionary internationalist solidarity
414353,revolutionary nuclei
414354,revolutionary cells
414355,liberation struggle
414359,forefront of the idea
414360,the qomemiyut movement
414362,the judean legion
414363,the way of the torah
414364,the yeshiva of the jewish idea
414365,koach
414377,comecarnes ltda
414380,exagan
414382,diagnosticentro la garantia
414453,mtt ltda
414562,inpesca sa
414591,real irish republican army
414592,rira
414593,32 county sovereignty committee
414594,32 county sovereignty movement
414595,real oglaigh na heireann
414596,irish republican prisoners welfare association
414730,autodefensas unidas de colombia
414731,auc
414735,aiai
414788,aleph
414789,kach
415034,alaqsa alislami bank
415035,arab palestinian beit elmal company
415036,beit al mal holdings
415037,beit el mal alphalastini alarabi almushima alaama almahaduda ltd
415038,palestinian arab beit el mal corporation ltd
415039,occupied land fund
415065,ummah tamir inau
415066,ummah tamir enau
415072,ummat tamiripau
415073,ummat tamir enau
415076,ulster freedom fighters
415091,oasis beach resort  convention center
415092,distribuidora imperial
415093,dibc
415094,farmacias vida
415095,farmacia vida
415098,alharamain
415099,alharamain foundation
415101,alharamain humanitarian foundation
415103,alharamain islamic foundation
415105,alharamayn
415107,alharamayn foundation
415109,alharamayn humanitarian foundation
415111,alharamayn islamic foundation
415113,alharamein
415115,alharamein foundation
415117,alharamein humanitarian foundation
415119,alharamein islamic foundation
415121,muassasat alharamain alkhayriyya
415122,muassasat alharamayn alkhayriyya
415214,eastern turkistan islamic party
415215,etim
415216,etip
415236,fondation secours mondial asbl
415237,fondation secours mondialbelgique asbl
415238,fondation secours mondialkosova
415239,fondation secours mondial vzw
415240,fondation secours mondial world relief
415241,fsm
415242,stichting wereldhulpbelgie vzw
415243,secours mondial de france
415261,vizcaya ltda
415271,mezhdunarodnyj blagotvoritelnyj fond
415272,benevolent international fund
415273,bifcanada
415274,becf charitable educational center
415275,benevolence educational center
415276,bifbosnia
415277,bosnian ideal future
415309,benevolence international nederland
415310,stgbenevolence international nederland
415378,banagricola sa
415379,coempaques ltda
415380,conpuerto sa
415381,comercializadora automotriz sa
415382,industria agropecuaria santa elena ltda
415384,colombiana de bolsas sa
415387,occipapel ltda
415388,sas eu
415389,unipapel sa bolsas de papel papeles sobres
415393,rodriguez carreno ltda todo bolsas y colsobres
415394,bolsak sa
415594,ana
415595,aksh
415596,ari
415598,bosnian investment organization
415599,crp
415600,fbksh
415601,ucpmb
415602,kkcmtsh
415605,lkck
415606,pcpmb
415607,lpk
415609,puma security service
415610,puma security agency
415624,uwsa
415625,united wa state party
415626,uwsp
415747,asp
415748,association for palestinian aid
415749,association secour palestinien
415750,humanitare hilfsorganisation fur palastina
415751,lajna alighatha alfilistini
415752,palestine relief committee
415753,palestinian aid council
415754,palestinian aid organization
415755,palestinian relief society
415756,relief association for palestine
415757,al aqsa assistance charitable council
415758,allajna alkhayriyya lil munasara alaqsa
415759,benevolence committee for solidarity with palestine
415760,benevolent committee for support of palestine
415761,cbsp
415762,charitable committee for palestine
415763,charitable committee for solidarity with palestine
415764,charitable committee for supporting palestine
415765,charitable organization in support of palestine
415766,comite de bienfaisance pour la solidarite avec la palestine
415767,committee for aid and solidarity with palestine
415768,committee for assistance and solidarity with palestine
415769,committee for charity and solidarity with palestine
415770,companie benificent de solidarite avec palestine
415771,council of charity and solidarity
415772,de bienfaisance et de commite le solidarite avec la palestine
415773,relief committee for solidarity with palestine
415774,alsanduq alfilistini lilighatha
415775,alsanduq alfilistini lilighatha wa altanmiya
415776,palestine development and relief fund
415777,palestine relief and development fund
415778,palestine relief fund
415779,palestinian aid and support fund
415780,palestinian relief and development fund
415781,palestinian relief fund
415782,palestine and lebanon relief fund
415783,prdf
415784,relief and development fund for palestine
415785,welfare and development fund for palestine
415786,welfare and development fund of palestine
415787,palaestinaenser verein
415788,palaestinaenserverein oesterreich
415789,palaestinensisch verband oesterreich
415790,palaestinensische vereinigung
415791,palaestininiensische bereinigung
415792,palestine league
415793,palestine union
415794,palestinensische ver in sterreich
415795,palestinian association
415796,palestinian islamic association in austria
415797,palestinian islamic league in austria
415798,palestinian league in austria
415799,palestinian organization
415800,palestinian union in austria
415801,palestinische vereinigung
415802,pvoe
415803,palestinian union
415804,al sanabil
415805,alsanbal
415806,asanabil
415807,jamia sanble llaghatha wa altinmia
415808,jamia sanabil
415809,jamia sanabil lil igatha wa altanmiyz
415810,sanabal
415811,sanabel
415812,sanabil
415813,sanabil alaqsa
415814,sanabil for aid and development
415815,sanabil for relief and development
415816,sanabil group for relief and development
415817,sanibal
415818,sannabil
415819,sannibil
415820,sinabul
415919,new kach movement
415920,newkachorg
415921,kahane
415922,yeshivat harav meir
415923,the international kahane movement
415924,kahaneorg
415925,jewish idea yeshiva
415927,kahanetzadakcom
415928,kahane tzadak
415929,the hatikva jewish identity center
415930,the rabbi meir david kahane memorial fund
415931,the jewish idea yeshiva
415932,friends of the jewish idea yeshiva
415933,judean congress
415934,jewish legion
415935,the voice of judea
415936,noar meir
415937,meirs youth
415938,american friends of yeshivat rav meir
415939,american friends of the united yeshiva
415940,the committee against racism and discrimination
415963,akhtarabad medical camp
415964,alakhtar medical centre
416005,faithful to the oath
416006,djamaat houmat ed dawa essalafia
416049,muassasat alharamein alkhayriyya
416050,vazir
416091,al haramain
416093,yayasan al haramaini
416094,yayasan al haramain
416151,yayasan almanahilindonesia
416152,caribe sol
416153,havantur canada inc
416157,cubanacan
416158,el grupo cubanacan
416159,guamatur sa
416160,wwwcubashopnet
416240,fundacion por la pas de cordoba
416241,fundazcor
416242,funpazcor
416324,albashir trading company ltd
416325,alhoda for religious tourism company
416326,alhoda state company for religious tourism
416327,alhuda for religious tourism company
416345,taibah international aid agency
416346,taibah international aid association
416347,al taibah intl
416348,taibah international aide association
416444,afo
416445,tijuana cartel
416446,vcfo
416463,i a c international inc
416464,international airline consulting
416467,world distribution system
416469,aero continente inc
416493,continuity army council
416494,continuity irish republican army
416495,republican sinn fein
416601,soktar
416602,tradaco sa
416609,al petra company for goods transport ltd
416611,abu shanab metals establishment
416612,amin abu shanab  sons co
416613,shanab metals establishment
416614,tariq abu shanab est
416615,tariq abu shanab metals establishment
416616,tdg
416617,rwr international commodities
416619,bloto international ltd
416620,bluto international
416621,plutodubai trading company llc
417775,melfi marine sa
417824,iara
417825,islamic relief agency
417826,alwakala alislamiya lilighatha
417827,islamic american relief agency
417829,isra
417898,intercontinental
417899,inter
417900,aeroatlantico ltda
417901,luis a hernandez z y cia scs
417902,cosur ltda
417903,hotel palace
417904,cabrasa
417905,impecua sa
417906,interfiar sa
417907,constructora hena ltda
417908,la frontera puerta galvez ltda
417912,alwakala alislamiya alafrikia lilighatha
417914,wwwsercubacom
417934,aerocontinente sa
417935,aero continent sa
417936,nuevo continente sa
417937,nuevocontinente sa
417938,wwwaerocontinentecom
417939,wwwaerocontinentecompe
417940,wwwnuevocontinentecompe
418085,sds
418086,srpska demokratska stranka
418105,flamingo club
431215,colombo andina comercial coalsa ltda
431221,dimabe ltda
433893,triple option trading 610cc ge sa
433907,atsige
433908,abayak sa
433909,sociedad nacional de vigilancia
433910,sonavi
433911,agencia des promocion de empleo guinea ecuatorial sa
433924,otong sa
433939,grupo sofana
433941,somagui forestal sl
433942,nusiteles ge
438792,abalone investment limited
447255,ghashim group inc
447268,mnc group international inc
460527,commercial bank of syria
460530,syrian lebanese commercial bank
469482,elehssan
469485,alahsan charitable organization
469486,bir wa elehssan society
469487,alihsan charitable society
469490,albirr wa alihsan wa alnaqa
469491,albar and alihsan societies
469492,albar and alihsan society
469493,elehssan society wa birr
469496,ihsan charity
469497,jamia alahsan alkhayriyyah
469498,the benevolent charitable organization
469499,elehssan society and birr
469500,elehssan society
469501,birr and elehssan society
469502,albir and alihsan organization
469503,albirr wa alihsan charity association
472686,agropecuaria el nilo sa
472688,agronilo sa
472690,agustin grajales y cia ltda
472692,armagedon sa
472695,casa grajales sa
472698,corporacion de almacenes por departamentos sa
472700,cad sa
472703,creta sa
472704,frutas exoticas colombianos sa
472707,frexco sa
472708,glg sa
472713,hebron sa
472715,ibadan ltda
472717,ilovin sa
472720,industrias agropecuarias el eden sa
472721,industrias del espiritu santo sa
472724,international freeze dried sa
472726,ifd sa
472729,inversiones aguila ltda
472730,inversiones los posso ltda scs
472732,inversiones santa cecilia scs
472733,josafat sa
472734,los vinedos de getsemani sa
472735,hotel los vinedos
472736,valle lindo hostal restaurante
472737,macedonia ltda
472738,panamericana ltda
472739,ramal sa
472740,salim sa
472741,salome grajales y cia ltda
472742,sociedad de negocios san agustin ltda
472743,transportes del espiritu santo sa
472799,almacaes sa
472801,grajales sa
472806,inversiones grame ltda
472809,inversiones santa monica ltda
473337,jaishemohammed
474458,new red brigadescombatant communist party brpcc
476212,united liberation front of assam ulfa
478577,mak
478580,al kifah
478599,taibah international  bosnia offices
480281,jtj
481080,the eastern turkistan islamic party of allah
481239,rsrsbcm
481240,riyadusalikhin reconnaissance and sabotage battalion of shahids martyrs
481905,aid organisation of the ulema pakistan
482416,trading and transport services company limited
482510,albashaair trading company l td
482520,albushair trading company ltd
482629,ejxe9rcito de liberacixf3n nacional
485480,egyptian islamic movement
487309,national democratic front of bodoland ndfb in assam
487791,eastview finance sa
488402,islamic jihad group
