Ent_ID,Name
40953,"Ganiev, Elyor Majidovich"
40971,"Gref, German Oskarovich"
41675,"Al Nahyan, Abdullah Bin Zayed"
41682,"Al Owais, Humaid Bin Nasser"
41733,"Contreras López, Rina María"
43254,"Madriz Contreras, Carmen María"
43307,"Chernomyrdin, Viktor Stepanovich"
43488,"Abildayev, Bolot Yeralkhanovich"
43660,"Nazarbayev, Nursultan Abishuly"
43723,"Dauth, John Cecil"
44063,"Botchway, Shirley Ayorkor"
44351,"Møller, Per Stig"
44732,"Chhim, Seikleng"
44806,"In, Visa Um"
44950,"Diallo, Salif"
44969,"Bassolé, Djibril Yipèn"
44989,"Arsenova, Dolores Borisova"
45317,"Al-Nahyan, Zayed bin Sultan bin Zayed bin Khalifa"
45320,"Al-Nahyan, Sultan Bin Zayed Bin Sultan"
45365,"Piskun, Svyaltoslav Mikhaylovich"
45412,"Tumusiime-Mutebile, Emmanuel"
45633,"Telting, André Eugene"
45693,"Dissanayake, Dissanayake Mudiyanselage Sumanaweera Banda"
45728,"Ngubane, Baldwin Sipho"
46012,"Putin, Vladimir Vladimirovich"
46016,"Kudrin, Aleksey Leonidovich"
46018,"Gordeyev, Aleksey Vasilyevich"
46019,"Yuzhanov, Ilya Arturovich"
46026,"Yusufov, Igor Khanukovich"
46036,"Lesin, Mikhail Yuryevich"
46046,"Shuvalov, Igor Ivanovich"
46049,"Ustinov, Vladimir Vasilyevich"
46386,"Al Khalifa, Khalid Bin Abdullah bin Khalid"
46402,"Bukhammas, Hassan Bin Eid Rashed"
46700,Zeti Akhtar binti Abdul Aziz
46950,"Abdurakhimov, Khayriddin Saidovich"
47681,"Atmar, Mohammad Hanif"
47940,"Schwetje, Hiltrud Marion"
47941,"Schröder-Köpf, Doris"
47942,"Taschenmacher, Anne"
47943,"Schubach, Eva"
47945,"Hampel, Franca"
47986,"Blair, Anthony Charles Lynton"
49031,"Bin Laden, Usama Muhammed Awad"
49623,"Al-Zawahiri, Ayman Muhammad Rabaie"
49810,"Roe, James Kenneth"
50035,"Stuart, Robert Scott"
50976,"Bebić, Luka"
51042,"Sanader, Ivo"
51099,"Akufo-Addo, Nana Addo Dankwa"
51113,"Apraku, Kofi Konadu"
51133,"Nitiwul, Dominic Bingab Aduna"
51156,"Blay, Frederick Worsemao Armah"
51450,"Zmajkovičová, Renáta"
53013,"Mantega, Guido"
53036,"da Silva, Luiz Inácio Lula"
53067,"Ribeiro, Devanir"
53282,"de Souza, Miguel"
53341,"Silva, Paulo Bernardo"
53342,"Severo Pimenta, Paulo Roberto"
53356,"Casagrande, José Renato"
53402,"de Carvalho Lago, Ricardo Wagner"
53861,"AL-DULAYMI, LATIF NUSAYYIF JASIM"
70254,"Deripaska, Oleg Vladimirovich"
70260,"Brhel, Jozef"
70946,"Kasirivu Atwooki, Baltazar Kyamanywa"
71091,"Tumwesigye, Elioda"
71907,"Clement, Wolfgang"
71985,"Bartol, Sören"
72983,"Wanniarachchi, Arachchige Pavithra Devi"
73008,"Ratnayake, Ratnayake Mudiyanselage Chandrasiri Bandara"
73019,"Dissanayake, Salinda"
73025,"Amunugama, Sarath Leelananda Bandara"
73075,"Weerawansa, Weerasangilige Wimal"
74997,"O'Malley, Kathleen McDonald"
75594,"Alyeshin, Boris Sergeyevich"
75626,"Morozov, Vadim Nikolayevich"
75769,"Kaikai, Septimus"
76267,"Theodorou, Doros A."
76452,"Kraft, Vahur"
79671,"Berezovskiy, Boris Abramovich"
84289,"Lichtenegger, Elmar"
87429,"Ledolter, Johann Leopold"
87452,"Langreiter, Hans"
87761,"Andersen, Hans Nicolai"
87867,"Orda, Mikhail Sergeyevich"
88175,"Skaarup, Birthe"
88177,"Skaarup, Peter"
88818,"Tikhonova, Yekaterina Vladimirovna"
88819,"Putina, Mariya Vladimirovna"
92131,"Yeltsin, Boris Nikolayevich"
92489,"Li, Eric Ka-cheung"
92496,"To, James Kun-sun"
92820,"van Heemst, Erik Peter"
92845,"van Lith, Martinus Theodorus Johannes Maria"
93402,"Almeida Valadares, Pedro"
93414,"do Amaral Gomez, Delcídio"
93474,"Mantovani, Benito Roberto Antonio"
93769,"Saakashvili, Mikheil"
93904,"Collor de Mello, Fernando Affonso"
94000,"do Prado Pimentel Franco, Albano"
94054,"Owen, David Anthony Llewellyn"
94180,"Lee, In-jae"
94474,"Lee, Yoon-sung"
94494,"Lee, In-ki"
95176,"Rau, John Robert"
96074,"Ma, Man Kei"
96138,"Liu, Zhijun"
96677,"Letica, Slaven"
96838,"Hoffmann, Gleisi Helena"
97012,"Leinatamm, Tarmo"
97088,"Sooäär, Imre"
97100,"Tulviste, Peeter"
101955,"Koptev, Yuriy Nikolayevich"
101966,"Nazarov, Valeriy Lvovich"
101968,"Dugin, Aleksandr Gelyevich"
102513,"Poltavchenko, Georgiy Sergeyevich"
108418,"Kamp-Schröder, Gunhild"
108419,"Brücke, Ilse"
108420,"Vosseler, Lothar"
108421,"Vosseler, Gisela"
110099,"Mirziyoyev, Shavkat Miromonovich"
